FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
169664|Skeltcher Creek|Stream|CO|08|Moffat|081|405654N|1085745W|40.9482933|-108.9626181|405837N|1090217W|40.9769038|-109.0381764|2428|7966|Beaver Basin|10/13/1978|
169665|Middle Mountain|Summit|CO|08|Moffat|081|405738N|1085643W|40.9605156|-108.9453953|||||2496|8189|Beaver Basin|10/13/1978|
169666|West End Spring|Spring|CO|08|Moffat|081|405929N|1085851W|40.9913484|-108.9809519|||||2630|8629|Beaver Basin|10/13/1978|
169667|Willow Spring|Spring|CO|08|Moffat|081|405620N|1085342W|40.9388495|-108.8951161|||||2529|8297|Beaver Basin|10/13/1978|
169668|My Valley|Valley|CO|08|Moffat|081|405620N|1085404W|40.9388495|-108.9012275|405714N|1085256W|40.9538889|-108.8822222|2483|8146|Beaver Basin|10/13/1978|
169669|Diamond Peak|Summit|CO|08|Moffat|081|405701N|1085241W|40.9502385|-108.8781712|||||2946|9665|Beaver Basin|10/13/1978|
169670|Buckley Cow Camp|Locale|CO|08|Moffat|081|405704N|1085450W|40.9510715|-108.9140056|||||2505|8218|Beaver Basin|10/13/1978|
169671|Rocky Reservoir|Reservoir|CO|08|Moffat|081|405721N|1085355W|40.9557297|-108.8986202|||||2624|8609|Beaver Basin|10/13/1978|06/17/2011
169672|Antelope Spring|Spring|CO|08|Moffat|081|405714N|1085528W|40.9539919|-108.9244491|||||2470|8104|Beaver Basin|10/13/1978|04/18/2011
169673|Antone Gap|Gap|CO|08|Moffat|081|405747N|1085453W|40.9630159|-108.914839|||||2564|8412|Beaver Basin|10/13/1978|
169674|Bishop Peak|Summit|CO|08|Moffat|081|405747N|1085531W|40.9630158|-108.9253948|||||2688|8819|Beaver Basin|10/13/1978|
169675|Elk Meadow|Flat|CO|08|Moffat|081|405806N|1085616W|40.9682933|-108.9378951|||||2731|8960|Beaver Basin|10/13/1978|
169676|Richies Spring|Spring|CO|08|Moffat|081|405759N|1085846W|40.9663486|-108.979563|||||2502|8209|Beaver Basin|10/13/1978|
169677|Bobs Spring|Spring|CO|08|Moffat|081|405806N|1085708W|40.9682377|-108.9523497|||||2608|8556|Beaver Basin|10/13/1978|04/18/2011
169678|Fisher Creek|Stream|CO|08|Moffat|081|410007N|1084709W|41.0019054|-108.7859465|405838N|1085140W|40.9771828|-108.8612263|2093|6867|Scrivner Butte|10/13/1978|
169679|Diamond Field Draw|Valley|CO|08|Moffat|081|405848N|1085041W|40.9799607|-108.844837|405711N|1085225W|40.9530556|-108.8736111|2284|7493|Sparks|10/13/1978|
169680|Fish Reservoirs|Reservoir|CO|08|Moffat|081|405615N|1085225W|40.9374608|-108.8737267|||||2598|8524|Sparks|10/13/1978|
169681|G Meadows|Flat|CO|08|Moffat|081|405703N|1084830W|40.9507945|-108.808447|||||2182|7159|Sparks|10/13/1978|
169682|Hanging Tree Draw|Valley|CO|08|Moffat|081|405707N|1084657W|40.9519059|-108.7826129|405647N|1085048W|40.9463889|-108.8466667|2121|6959|Sparks|10/13/1978|
169683|Sugarloaf Camp|Locale|CO|08|Moffat|081|405655N|1084540W|40.9485728|-108.7612234|||||2117|6945|Sparks|10/13/1978|
169684|G Flats|Flat|CO|08|Moffat|081|405601N|1084735W|40.9335726|-108.7931687|||||2174|7132|Sparks|10/13/1978|
169685|Elk Ranch|Locale|CO|08|Moffat|081|405512N|1085141W|40.9199611|-108.861504|||||2299|7543|Sparks|10/13/1978|
169686|Sparks|Locale|CO|08|Moffat|081|405505N|1084901W|40.9180171|-108.8170583|||||2176|7139|Sparks|10/13/1978|
169687|Station Ranch|Locale|CO|08|Moffat|081|405514N|1084709W|40.9205173|-108.7859463|||||2120|6955|Sparks|10/13/1978|
169688|Antone Canyon|Valley|CO|08|Moffat|081|405453N|1084621W|40.9146841|-108.7726125|405304N|1084820W|40.8844444|-108.8055556|2084|6837|Sparks|10/13/1978|
169689|Buck Basin|Basin|CO|08|Moffat|081|405341N|1084821W|40.894684|-108.8059468|||||2426|7959|Sparks|10/13/1978|
169690|Big Draw|Valley|CO|08|Moffat|081|405448N|1084825W|40.9132949|-108.807058|405336N|1084916W|40.8933333|-108.8211111|2157|7077|Sparks|10/13/1978|
169691|Buck Draw|Valley|CO|08|Moffat|081|405448N|1084830W|40.9132949|-108.808447|405355N|1084948W|40.8986111|-108.83|2174|7132|Sparks|10/13/1978|
169692|Choke Cherry Draw|Valley|CO|08|Moffat|081|405448N|1085057W|40.9132946|-108.8492815|405349N|1085152W|40.8969444|-108.8644444|2272|7454|Sparks|10/13/1978|
169693|Fondillos Draw|Valley|CO|08|Moffat|081|405502N|1085130W|40.9171833|-108.8584484|405353N|1085229W|40.8980556|-108.8747222|2294|7526|Sparks|10/13/1978|
169694|Cold Spring Mountain|Summit|CO|08|Moffat|081|405343N|1085217W|40.895239|-108.8715043|||||2624|8609|Sparks|10/13/1978|
169695|Arthurs Reservoir|Reservoir|CO|08|Moffat|081|405245N|1085015W|40.879203|-108.8376161|||||2537|8323|Sparks|10/13/1978|06/17/2011
169696|NS Creek|Stream|CO|08|Moffat|081|405500N|1085323W|40.9166276|-108.8898383|405244N|1085032W|40.8788505|-108.8423368|2487|8159|Beaver Basin|10/13/1978|
169697|Coyote Spring|Spring|CO|08|Moffat|081|405236N|1084934W|40.8766285|-108.8262252|||||2525|8284|Sparks|10/13/1978|
169698|Canyon Creek|Stream|CO|08|Moffat|081|405737N|1083952W|40.96024|-108.6645537|410019N|1090001W|41.0052371|-109.0003968|1961|6434|Sugarloaf Butte|10/13/1978|
169699|G Wash|Valley|CO|08|Moffat|081|405828N|1084250W|40.9744061|-108.7139997|405652N|1085140W|40.9477386|-108.8612263|2025|6644|Sugarloaf Butte|10/13/1978|
169700|Fonce Lake|Lake|CO|08|Moffat|081|405827N|1084451W|40.9741514|-108.7473773|||||2100|6890|Sugarloaf Butte|10/13/1978|06/17/2011
169701|Fonce Wash|Valley|CO|08|Moffat|081|405738N|1084432W|40.9605173|-108.742334|405658N|1085201W|40.9494052|-108.8670598|2062|6765|Sugarloaf Butte|10/13/1978|
169702|G Lake|Lake|CO|08|Moffat|081|405642N|1084451W|40.9451247|-108.7474479|||||2130|6988|Sugarloaf Butte|10/13/1978|06/17/2011
169703|Sugarloaf Butte|Summit|CO|08|Moffat|081|405428N|1084431W|40.90774|-108.742056|||||2195|7201|Sugarloaf Butte|10/13/1978|
169704|Talamantes Creek|Stream|CO|08|Moffat|081|404339N|1084005W|40.7274646|-108.6681639|405516N|1085527W|40.9210716|-108.9242837|1967|6453|Vermillion Mesa|10/13/1978|
169705|Shell Creek|Stream|CO|08|Moffat|081|405533N|1083731W|40.92582|-108.62526|411809N|1083926W|41.3025|-108.6572222|1929|6329|Sugarloaf Butte|06/05/1979|11/08/2010
169706|Hiawatha|Populated Place|CO|08|Moffat|081|405918N|1083713W|40.9882955|-108.6203857|||||2179|7149|Hiawatha|10/13/1978|
169707|Hells Canyon|Valley|CO|08|Moffat|081|405744N|1083243W|40.9621852|-108.5453832|410025N|1083322W|41.0069069|-108.5562172|1990|6529|Hiawatha|10/13/1978|
169708|Racetrack Flat|Flat|CO|08|Moffat|081|405853N|1082451W|40.9813524|-108.4142671|||||2166|7106|Coffeepot Spring|10/13/1978|
169709|Coffeepot Spring|Spring|CO|08|Moffat|081|405359N|1082338W|40.8996777|-108.3939901|||||2194|7198|Coffeepot Spring|10/13/1978|04/18/2011
169710|Eagle Rock Draw|Valley|CO|08|Moffat|081|405858N|1081702W|40.982742|-108.2839837|410033N|1082342W|41.0091301|-108.3950997|1969|6460|Powder Wash|10/13/1978|
169711|Beaver Slide Draw|Valley|CO|08|Moffat|081|405908N|1082008W|40.9855195|-108.3356527|405617N|1082522W|40.9380196|-108.4228783|2013|6604|Powder Wash|10/13/1978|
169712|Powder Wash|Populated Place|CO|08|Moffat|081|405645N|1081841W|40.9457977|-108.3114847|||||2049|6722|Powder Wash|10/13/1978|
169713|West Dripping Rock|Spring|CO|08|Moffat|081|405518N|1082213W|40.9216311|-108.370376|||||2196|7205|Powder Wash|10/13/1978|
169714|Ace in the Hole Draw|Valley|CO|08|Moffat|081|405848N|1081504W|40.9799643|-108.2512046|405440N|1082014W|40.9111111|-108.3372222|1957|6421|Powder Wash|10/13/1978|
169715|Dans Hole Spring|Spring|CO|08|Moffat|081|405344N|1081851W|40.8956041|-108.3140848|||||2171|7123|Powder Wash|10/13/1978|04/18/2011
169716|Ruedloff Draw|Valley|CO|08|Moffat|081|405749N|1081004W|40.9635759|-108.1678671|410254N|1081212W|41.0483333|-108.2033333|1918|6293|Reservoir Draw|06/05/1979|12/13/2010
