FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
179328|North Salt Canyon|Valley|NM|35|San Juan|045|365855N|1083038W|36.981849|-108.510418|370118N|1082551W|37.0216638|-108.4309188|1740|5709|Palmer Mesa|10/13/1978|01/07/2011
179341|Dawson Arroyo|Stream|NM|35|San Juan|045|365910N|1081132W|36.98612|-108.19229|370108N|1081607W|37.0188881|-108.2686917|1811|5942|La Plata|10/13/1978|11/17/2010
179342|Barker Arroyo|Stream|NM|35|San Juan|045|365107N|1081303W|36.852|-108.21741|370418N|1081932W|37.07161|-108.3256|1678|5505|Farmington North|10/13/1978|11/17/2010
179343|Horse Canyon|Valley|NM|35|San Juan|045|365946N|1082107W|36.9961094|-108.3520274|370127N|1082147W|37.0241647|-108.3631389|1900|6234|Purgatory Canyon|10/13/1978|07/11/2012
179349|Little Barker Arroyo|Stream|NM|35|San Juan|045|365646N|1081726W|36.94598|-108.29069|370102N|1081649W|37.0172213|-108.2803586|1805|5922|Purgatory Canyon|10/13/1978|11/17/2010
179352|North Thomas Canyon|Valley|NM|35|San Juan|045|365836N|1081220W|36.976667|-108.2056331|370035N|1081607W|37.0097215|-108.2686917|1817|5961|La Plata|10/13/1978|01/07/2011
179357|Cinder Gulch|Valley|NM|35|San Juan|045|365855N|1080807W|36.9819452|-108.1353522|370357N|1080731W|37.0658337|-108.1253521|1792|5879|La Plata|10/13/1978|01/07/2011
179358|Mefford Wash|Stream|CO|08|La Plata|067|365939N|1081144W|36.9941669|-108.1956329|370050N|1081428W|37.0138885|-108.2411907|1824|5984|La Plata|10/13/1978|
179369|McDermott Arroyo|Stream|CO|08|La Plata|067|375428N|1081029W|37.9077704|-108.1747989|370810N|1085953W|37.1361062|-108.9981624|2700|8858|Beaver Park|10/13/1978|
179373|Godby Wash|Stream|CO|08|La Plata|067|370202N|1070158W|37.0338976|-107.0328157|365902N|1075949W|36.9838908|-107.9970126|2403|7884|Trujillo|10/13/1978|
179374|Clyde Walker Canyon|Valley|CO|08|La Plata|067|370137N|1080128W|37.0269459|-108.024514|365925N|1080053W|36.9902795|-108.0147912|1908|6260|Pinkerton Mesa|10/13/1978|
179375|Coyote Gulch|Valley|CO|08|La Plata|067|370019N|1080605W|37.0052787|-108.1014619|365954N|1080139W|36.9983348|-108.0275695|1829|6001|Pinkerton Mesa|10/13/1978|
184434|Sambrito Creek|Stream|CO|08|Archuleta|007|375802N|1072635W|37.9672187|-107.4431132|370812N|1072755W|37.1366709|-107.4653286|3844|12611|Redcloud Peak|10/13/1978|
184447|Cox Canyon|Valley|NM|35|San Juan|045|365613N|1075356W|36.9369472|-107.8989544|370623N|1075835W|37.1063907|-107.9764573|1780|5840|Cedar Hill|10/13/1978|01/07/2011
184463|Beef Canyon|Valley|NM|35|San Juan|045|365923N|1074257W|36.9897251|-107.715894|370200N|1074655W|37.0333358|-107.7820077|1982|6503|Anastacio Spring|10/13/1978|01/07/2011
184464|Box Canyon|Valley|NM|35|San Juan|045|365706N|1074435W|36.95168|-107.74309|370041N|1074705W|37.0113913|-107.7847855|1954|6411|Anastacio Spring|10/13/1978|01/07/2011
184465|Line Canyon|Valley|CO|08|La Plata|067|365948N|1075149W|36.9966688|-107.8636762|370207N|1074824W|37.0352802|-107.8067305|1809|5935|Mount Nebo|10/13/1978|
184476|Ditch Canyon|Valley|NM|35|San Juan|045|365542N|1075305W|36.9283362|-107.8847874|370038N|1074719W|37.010558|-107.7886745|1780|5840|Cedar Hill|10/13/1978|01/07/2011
184478|Trail Canyon|Valley|NM|35|San Juan|045|365702N|1074210W|36.950475|-107.702708|370448N|1074440W|37.0800029|-107.7445067|1903|6243|Anastacio Spring|10/13/1978|01/07/2011
184503|Cemetery Canyon|Valley|CO|08|La Plata|067|365955N|1073550W|36.9986151|-107.5972773|370044N|1073415W|37.0122264|-107.5708873|1883|6178|Burnt Mesa|10/13/1978|
