FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
371599|Blind Gulch|Valley|ID|16|Idaho|049|454527N|1162826W|45.757382|-116.4737547|454628N|1162809W|45.7744444|-116.4691667|819|2687|Joseph|06/21/1979|
371600|Blind Spring|Spring|ID|16|Power|077|424512N|1124401W|42.7532457|-112.7336009|||||1552|5092|Wheatgrass Bench|06/21/1979|
371601|Blind Spring Creek|Stream|ID|16|Power|077|424927N|1124728W|42.8240788|-112.7911028|424354N|1124442W|42.7315792|-112.74499|1339|4393|American Falls|06/21/1979|
371602|Bliss|Populated Place|ID|16|Gooding|047|425537N|1145658W|42.9268461|-114.9495057|||||997|3271|Bliss|06/21/1979|03/21/2008
371603|Bliss Point|Cape|ID|16|Gooding|047|425827N|1145556W|42.9740683|-114.9322834|||||1058|3471|Bliss|06/21/1979|
371604|Blister Rust Creek|Stream|ID|16|Kootenai|055|475556N|1165849W|47.9321241|-116.9801986|475708N|1165944W|47.9522222|-116.9955556|764|2507|Spirit Lake West|06/21/1979|
371605|Bloom Peak|Summit|ID|16|Shoshone|079|474518N|1154950W|47.7549263|-115.8304473|||||1787|5863|Bloom Peak|06/21/1979|
371606|Blossom Mountain|Summit|ID|16|Kootenai|055|473933N|1165750W|47.6590689|-116.9638054|||||1334|4377|Post Falls|06/21/1979|
371607|Blowout Reservoir|Reservoir|ID|16|Blaine|013|431741N|1133310W|43.294853|-113.5528948|||||1629|5344|North Laidlaw Butte|06/21/1979|06/20/2011
371608|Black Butte|Summit|ID|16|Owyhee|073|424114N|1152302W|42.6871222|-115.3839571|||||1282|4206|Black Butte West|06/21/1979|
371609|Blue Creek|Stream|ID|16|Clark|033|440903N|1123033W|44.1507405|-112.5091569|441335N|1123526W|44.2263889|-112.5905556|1507|4944|Lidy Hot Springs|06/21/1979|
371610|Blue Creek|Stream|ID|16|Bonneville|019|432847N|1114005W|43.4796374|-111.6680149|432748N|1114005W|43.4633333|-111.6680556|1736|5695|Lone Pine Ridge|06/21/1979|
371611|Blue Creek|Stream|ID|16|Owyhee|073|420148N|1161237W|42.029899|-116.2103811|423205N|1161604W|42.5346142|-116.2678861|1612|5289|Mountain View Lake|06/21/1979|
371612|Blue Creek|Stream|ID|16|Bannock|005|422840N|1115608W|42.4776974|-111.9355122|423018N|1115634W|42.5049193|-111.9427348|2083|6834|Cottonwood Peak|06/21/1979|
